Elevation	Pattern		
Deg	V dB		
			
194	1.46	101.45	0.997051597
195	1.41	101.4	0.996560197
196	1.37	101.36	0.996167076
197	1.31	101.3	0.995577396
198	1.26	101.25	0.995085995
199	1.2	101.19	0.994496314
200	1.14	101.13	0.993906634
201	1.08	101.07	0.993316953
202	1.01	101	0.992628993
203	0.94	100.93	0.991941032
204	0.87	100.86	0.991253071
205	0.79	100.78	0.99046683
206	0.71	100.7	0.98968059
207	0.62	100.61	0.988796069
208	0.54	100.53	0.988009828
209	0.45	100.44	0.987125307
210	0.35	100.34	0.986142506
211	0.25	100.24	0.985159705
212	0.15	100.14	0.984176904
213	0.04	100.03	0.983095823
214	-0.07	99.92	0.982014742
215	-0.18	99.81	0.980933661
216	-0.3	99.69	0.9797543
217	-0.42	99.57	0.978574939
218	-0.55	99.44	0.977297297
219	-0.68	99.31	0.976019656
220	-0.81	99.18	0.974742015
221	-0.95	99.04	0.973366093
222	-1.1	98.89	0.971891892
223	-1.25	98.74	0.97041769
224	-1.4	98.59	0.968943489
225	-1.56	98.43	0.967371007
226	-1.73	98.26	0.965700246
227	-1.9	98.09	0.964029484
228	-2.07	97.92	0.962358722
229	-2.26	97.73	0.9604914
230	-2.44	97.55	0.958722359
231	-2.64	97.35	0.956756757
232	-2.84	97.15	0.954791155
233	-3.05	96.94	0.952727273
234	-3.26	96.73	0.950663391
235	-3.48	96.51	0.948501229
236	-3.71	96.28	0.946240786
237	-3.95	96.04	0.943882064
238	-4.2	95.79	0.941425061
239	-4.46	95.53	0.938869779
240	-4.72	95.27	0.936314496
241	-5	94.99	0.933562654
242	-5.29	94.7	0.930712531
243	-5.59	94.4	0.927764128
244	-5.9	94.09	0.924717445
245	-6.23	93.76	0.921474201
246	-6.57	93.42	0.918132678
247	-6.92	93.07	0.914692875
248	-7.3	92.69	0.910958231
249	-7.69	92.3	0.907125307
250	-8.1	91.89	0.903095823
251	-8.54	91.45	0.898771499
252	-8.99	91	0.894348894
253	-9.48	90.51	0.88953317
254	-10	89.99	0.884422604
255	-10.55	89.44	0.879017199
256	-11.14	88.85	0.873218673
257	-11.78	88.21	0.866928747
258	-12.47	87.52	0.86014742
259	-13.22	86.77	0.852776413
260	-14.04	85.95	0.844717445
261	-14.95	85.04	0.835773956
262	-15.97	84.02	0.825749386
263	-17.12	82.87	0.814447174
264	-18.46	81.53	0.801277641
265	-20.04	79.95	0.785749386
266	-21.98	78.01	0.766683047
